customer_id,age,gender,location,incomelevel,signupdate,total_spent,avg_spent,num_transactions,max_transaction,min_transaction,engagement_score
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,1157.495,578.7475,2,660.87,496.625,0.0
5fb09cd8-a473-46f7-80bd-6e49cf509078,45.0,Female,Castilloport,High,2020-07-21,976.88,976.88,1,976.88,976.88,0.0
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,2023-08-24,733.46,733.46,1,733.46,733.46,0.0
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,1388.365,462.78833333333336,3,615.28,276.46,0.0
9f2128cd-2f2b-4f71-987c-29fd045021f0,45.0,Female,Lake Erin,Medium,2022-04-26,743.6,743.6,1,743.6,743.6,0.0
40f5a5dd-a46f-4a5e-8c0f-fe04389ddec8,45.0,Female,Mariaberg,High,2024-02-18,1180.8899999999999,590.4449999999999,2,719.78,461.11,0.0
aae60ad7-5553-4d10-a637-93d5dcc98e4a,45.0,Male,Brownfort,Low,2021-12-02,116.46,116.46,1,116.46,116.46,0.0
8602d631-457c-49c1-8b59-8efb2a4448d4,51.0,Male,East Keithville,High,2022-04-17,815.21,815.21,1,815.21,815.21,0.0
b2f4c25e-be11-4912-9d14-5c288616e56e,29.0,Male,South Timothyhaven,High,2023-07-09,533.94,533.94,1,533.94,533.94,0.0
fd63f236-3ec3-401d-9fa1-53bda0bd7c0e,45.0,Male,Thomasbury,Low,2021-05-29,31.09,31.09,1,31.09,31.09,0.0
ef562111-91d8-47bc-a2b1-d6622604fd3d,61.0,Female,Loganbury,Low,2020-10-05,624.07,624.07,1,624.07,624.07,0.0
88c11bb5-495a-4fa4-9dca-ba16c044b52f,29.0,Male,Cruzville,,2022-01-03,320.91,320.91,1,320.91,320.91,0.0
36bc83c7-adc6-45b8-960d-685e9d19661e,32.0,Female,New Annafort,Medium,2020-01-21,649.14,649.14,1,649.14,649.14,0.0
a800ccba-e1ca-4f52-ad9f-14f3432699c9,45.0,Male,Randyton,,2022-10-16,104.72999999999999,52.364999999999995,2,204.73,-100.0,0.0
3151b4f8-afe8-405a-b152-aa1cc8616f05,64.0,Male,East Brianfort,Low,2024-02-06,154.02,154.02,1,154.02,154.02,0.0
013c4cd9-1d0f-4004-8772-065ab426d105,39.0,Male,South Jamesburgh,Medium,2022-08-24,0.0,0.0,1,0.0,0.0,0.0
c9f831b4-43cf-4ed9-9b47-09542e239c70,53.0,Female,East Ryanbury,Medium,2023-10-12,1018.38,509.19,2,703.27,315.11,0.0
348c5ab5-992d-4780-ba71-d1a5e3818191,46.0,Female,New Jesseside,Low,2023-09-24,626.22,626.22,1,626.22,626.22,0.0
e8a5fdb8-fcd9-450c-9635-e376266c8bcf,48.0,Female,Robinburgh,High,2024-06-08,1529.51,509.83666666666664,3,645.53,309.51,0.0
52303d17-9d24-4c20-89e3-7bcfa92140c9,150.0,Male,Spencermouth,,2022-06-25,661.24,661.24,1,661.24,661.24,0.0
f381038c-b3ed-4561-84b1-0f60d4afb6c9,39.0,Male,New Diana,,2023-05-12,1689.49,563.1633333333333,3,849.85,282.78,0.0
f43422cc-a731-4574-a05d-9adf4dd4bea4,54.0,Female,Huberfurt,Low,2023-01-03,615.38,615.38,1,615.38,615.38,0.0
30dc519a-a52c-465c-8678-8110e7bd13ed,37.0,Male,Port Brandonmouth,High,2022-08-20,1330.155,665.0775,2,833.53,496.625,0.0
c30de55f-687c-46f5-bbd2-a9e73d2d138d,44.0,Male,Harringtontown,Medium,2023-07-07,736.46,736.46,1,736.46,736.46,0.0
d6d22cf1-649a-4b97-9a9b-8ebc1ebe89c9,34.0,Female,Wilkersonbury,High,2023-07-10,587.94,293.97,2,297.25,290.69,0.0
e8cbd1fc-5d2d-472a-8c68-8283bb58c8ae,26.0,Male,Latoyaville,Low,2019-12-23,93.86,93.86,1,93.86,93.86,0.0
2a8b0748-3a77-47ec-a6e9-c8c191b39d62,64.0,Male,Amyside,Medium,2022-07-11,1133.19,566.595,2,943.57,189.62,0.0
afc2a89b-0b66-4b13-83d0-54cc54e5dae0,36.0,Female,Jacobview,High,2021-09-27,855.81,855.81,1,855.81,855.81,0.0
05abacfa-de8a-4606-a35d-7487ed7554c7,56.0,Female,South Tammy,Medium,2023-01-22,1557.4099999999999,778.7049999999999,2,876.79,680.62,0.0
9bd23b55-cbc0-4082-ae18-916ea8895c07,45.0,Male,Kimberlyview,Low,2024-01-26,1832.73,610.91,3,806.34,291.45,0.0
f2ae0761-35fa-44a8-ac81-e607e89611ef,31.0,Male,Stevenfurt,Medium,2024-05-01,418.35,209.175,2,325.37,92.98,0.0
8a34badc-d3bc-464a-8687-d6bd3bb08215,67.0,Female,New Russell,High,2020-09-22,790.49,395.245,2,424.05,366.44,0.0
ec42fc84-51a4-4f32-971a-132852d4fe36,45.0,Male,Michaelborough,Low,2022-04-23,1836.3400000000001,612.1133333333333,3,989.35,51.39,0.0
fa51f8d8-92c4-4b55-b33d-dc7f1eae4792,27.0,Female,Calebstad,High,2019-07-06,981.01,981.01,1,981.01,981.01,0.0
c3575491-5c91-4a46-a63b-506bc3395c62,50.0,Female,Port Timothyfort,Medium,2022-01-17,827.66,827.66,1,827.66,827.66,0.0
cc5da89b-c295-41c3-b27d-c759cca78ba8,33.0,Female,New Stephenside,Medium,12/01/2024,1651.8200000000002,550.6066666666667,3,820.49,397.72,0.0
5ba7a03b-0d2f-4fc3-bd36-7a675c1ac61e,150.0,Female,East Ryanchester,High,2021-02-18,1463.6799999999998,731.8399999999999,2,874.13,589.55,0.0
589eff22-1d5d-4138-8b42-ba0507aae51a,45.0,Male,Port Bradleyland,,2022-11-20,20.66,20.66,1,20.66,20.66,0.0
3c0eae54-dde8-4291-95d3-f8dfb98c475a,62.0,Female,Williamshaven,High,2022-02-10,1351.045,675.5225,2,854.42,496.625,0.0
8f4bfd5c-d32d-49bb-a995-7535553847cf,64.0,Male,New Dianatown,High,2020-02-04,2157.48,539.37,4,618.41,496.625,0.0
6631a889-65d2-4588-9ed7-850c8b216f6d,22.0,Female,Warrenburgh,High,2021-03-26,597.83,597.83,1,597.83,597.83,0.0
c3a3cdb4-7e4f-4017-a8bf-5f329b6938c8,52.0,Female,Port Sheryl,Low,2020-08-04,257.46,128.73,2,247.28,10.18,0.0
b7b84b81-c61b-4f23-b3db-b18010484122,52.0,Male,East Cynthiafort,Low,2020-02-21,1270.33,423.4433333333333,3,772.27,-100.0,0.0
409d7d69-e0b1-4493-8b23-100fb9518966,64.0,Female,Bradleyborough,Low,2023-03-11,844.73,844.73,1,844.73,844.73,0.0
f4274d3a-db95-4b02-b4cc-2b414f25d80d,46.0,Male,Annaport,Medium,2020-08-20,1521.24,507.08,3,919.76,107.39,0.0
6e1feeab-c26b-4462-ae4c-77ff8d6e5b35,27.0,Female,Lanestad,Low,2022-05-10,550.39,275.195,2,429.69,120.7,0.0
86e19319-72e1-4870-bba8-51c3dd201268,39.0,Male,Tinaland,,2024-06-29,474.57,474.57,1,474.57,474.57,0.0
c5cc364c-0373-4aec-b421-e5e10f91791f,25.0,Female,East Luis,Low,2020-02-08,985.19,492.595,2,802.36,182.83,0.0
6b18200b-0867-4746-887c-ce48371e772a,36.0,Male,Wongville,Medium,2022-08-27,816.15,816.15,1,816.15,816.15,0.0
5711d1af-71f2-4b99-a965-3ffdc39d32c8,45.0,Male,Aaronton,Low,2023-07-31,718.62,359.31,2,533.48,185.14,0.0
086370e7-8884-47d7-89b0-776401a43e1c,53.0,Female,Port Jesseside,Medium,2024-04-19,1691.97,563.99,3,974.25,0.0,0.0
142d2fe3-3958-433b-a163-3899040ab178,35.0,Male,Port Michelle,Medium,2022-03-29,806.38,806.38,1,806.38,806.38,0.0
28097c07-e810-4e64-8eae-bff2abd81bc1,26.0,Female,Lake David,High,2021-02-12,-100.0,-100.0,1,-100.0,-100.0,0.0
c584f7db-9f8c-4012-b52e-089eadc9fde3,67.0,Female,Stephensonmouth,High,2022-02-27,781.3,390.65,2,555.73,225.57,0.0
6007c09a-d082-4218-9cdd-087ec3d24dec,43.0,Female,Garciaton,High,2019-08-16,554.59,554.59,1,554.59,554.59,0.0
acf61979-471d-4d03-99cf-bdd3668261a6,59.0,Female,North Elizabeth,Low,2021-12-29,27.19,27.19,1,27.19,27.19,0.0
afc2cf41-aacb-482c-a3f0-2f68035c44f7,57.0,Male,Allenchester,Low,2023-04-06,1001.1500000000001,500.57500000000005,2,734.85,266.3,0.0
6bc3aaad-57cc-4fae-b57f-18faa88ce95b,61.0,Male,West Randall,Low,2019-11-08,624.49,312.245,2,438.52,185.97,0.0
401302a0-2748-49f3-bf78-d778d21d4cc7,23.0,Female,Vasquezburgh,Medium,2020-08-15,627.54,313.77,2,394.53,233.01,0.0
66e01489-30f2-4461-bd51-1a6713c7634b,39.0,Female,Lauriehaven,Low,2020-06-25,861.595,430.7975,2,496.625,364.97,0.0
1c4c3ec8-256e-4c2c-bed6-cf5e97e076de,45.0,Male,New Amber,Low,2023-04-10,737.9,737.9,1,737.9,737.9,0.0
eb404291-dab0-4733-b0e2-00676e7678a1,64.0,Male,Wilsonton,Medium,2023-06-07,243.95,243.95,1,243.95,243.95,0.0
2da3a384-4f08-4048-871b-a1acfe7d7c59,70.0,Male,East Kimberly,High,2019-09-07,1845.1,922.55,2,998.37,846.73,0.0
f9ab3c05-425f-4739-8e23-5197e518e250,33.0,Female,Andrewville,Medium,2023-02-18,909.0,454.5,2,884.73,24.27,0.0
f102f93b-f32c-41d3-adcc-25e02a67c34f,49.0,Female,Meganstad,High,2020-01-26,1423.925,355.98125,4,836.02,-100.0,0.0
6b2f8f03-ab9e-48a6-a07e-10e794b04fe0,65.0,Male,Lake Karen,Low,2023-04-04,1318.55,659.275,2,764.04,554.51,0.0
576d68cf-0bd0-40a8-8710-eee2c706f81e,42.0,Female,West Cynthiamouth,High,2020-06-30,683.65,683.65,1,683.65,683.65,0.0
e4f5c19b-60e0-4e10-9735-88d05adf0667,67.0,Male,Melissaborough,Low,2023-06-16,823.58,823.58,1,823.58,823.58,0.0
fd089f90-297f-4c91-82e6-34a4937ecddc,45.0,Female,Howardville,Medium,2021-09-23,496.625,496.625,1,496.625,496.625,0.0
2529044c-e151-4f75-ac8f-ad9febf25ac5,53.0,Male,Jessicachester,High,2019-07-27,576.11,576.11,1,576.11,576.11,0.0
6a4fcf07-d4f6-44cf-9d47-ddae1917f808,42.0,Male,Baileyberg,High,2022-05-26,418.96000000000004,209.48000000000002,2,257.62,161.34,0.0
4c95e2ed-ec52-41cd-8258-01910de21d71,70.0,Male,East Michaelville,Low,2024-06-03,234.32,234.32,1,234.32,234.32,0.0
edbc4b21-e53a-4f7c-bf1f-7dc9f9557ca5,27.0,Female,Davidfort,High,2023-12-13,213.16,213.16,1,213.16,213.16,0.0
54b3556e-e480-41a2-9dcd-7da1d91655aa,57.0,Male,East Betty,Medium,2024-06-08,1298.47,432.8233333333333,3,861.39,113.56,0.0
5736efce-e87a-4e6d-a7b0-803d8aea3c75,51.0,Male,Stephaniemouth,Medium,2020-01-24,948.19,948.19,1,948.19,948.19,0.0
768b95d6-378c-462e-8d70-22c41d6c65bf,39.0,Male,Marshalltown,Medium,2021-08-30,1046.9099999999999,348.96999999999997,3,638.27,119.18,0.0
b8f3474f-d05d-4aca-982b-6af4a856305a,45.0,Male,Chelseaburgh,High,2024-06-09,892.1,446.05,2,892.1,0.0,0.0
860003c0-809c-439e-b704-f8648809e396,56.0,Male,West Nathanport,High,2020-03-03,1150.31,383.43666666666667,3,837.52,131.42,0.0
f295375f-e649-4961-9cd1-6104411c00c8,70.0,Female,North Alicia,Low,2021-10-27,995.4399999999999,497.71999999999997,2,686.16,309.28,0.0
d6fe4961-6886-49c3-b6be-07bab52aa19f,51.0,Male,Jenniferview,Low,2020-04-16,426.81,213.405,2,373.85,52.96,0.0
592c60d1-2f03-42d4-aa26-ca11f9fd0e0f,56.0,Male,New James,Low,2020-09-22,1378.81,459.6033333333333,3,984.93,174.61,0.0
896a48cf-7ab6-41a8-ac94-9d7f6c211c01,56.0,Female,Andreaburgh,Low,2021-07-14,515.54,515.54,1,515.54,515.54,0.0
a523b30b-f05c-4704-b3b6-e36c4e637440,35.0,Female,Port Brandonstad,High,2024-03-15,1794.71,897.355,2,995.57,799.14,0.0
c5214293-3313-4a25-96b2-625af9e94e49,45.0,Female,Masseyhaven,,2022-01-01,754.68,754.68,1,754.68,754.68,0.0
2d9979c1-ec25-42b8-a9ce-dd6661524b50,30.0,Female,New Kelly,Medium,2023-03-21,389.59,194.795,2,364.76,24.83,0.0
c12c8d66-3979-45bc-85fd-780ac87f19d9,45.0,Female,Port Kevin,Medium,2023-07-07,73.37,73.37,1,73.37,73.37,0.0
